Umur,Jumlah Masukan,Bahan Makanan,Vit. A,Vit. B,Vit. C,Vit. D,Vit. E,Vit. K,Protein (g),Mineral (%),Energi (Kal),Lemak  (g),Kalsium (mg),Zat Besi (gr),Serat (g),Karbohidrad (gr),Fosfor (mg),Magnesium (mg),Natrium (mg),Kalium (mg)
15,4,"24, 4, 9, 47",o,o,o,x,o,x,o,o,x,x,x,o,x,x,o,x,x,x
33,7,"50, 34, 17, 3, 36, 43, 50",o,o,o,x,x,x,o,o,x,o,x,o,o,x,x,x,o,x
2,4,"52, 35, 2, 12",x,o,o,x,x,x,o,o,x,x,o,o,o,x,o,o,x,o
10,4,"41, 7, 31, 29",x,o,x,x,x,x,x,o,x,x,x,x,o,x,x,o,x,x
14,8,"6, 45, 32, 32, 58, 41, 41, 39",o,o,o,x,o,x,x,o,x,x,x,o,x,x,o,x,x,o
23,3,"2, 54, 26",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
30,2,"26, 2",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
34,9,"11, 57, 9, 45, 13, 4, 39, 49, 44",o,o,o,x,x,x,o,o,x,x,x,o,o,x,o,x,x,o
21,2,"23, 48",x,o,x,x,o,x,o,x,x,o,x,o,x,x,o,x,x,x
7,7,"25, 49, 33, 41, 31, 60, 23",x,o,x,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
35,3,"52, 12, 50",o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
33,9,"45, 19, 49, 35, 18, 41, 34, 18, 10",o,o,o,o,x,x,o,o,x,x,x,o,x,x,o,x,x,x
12,1,20,o,o,x,x,x,x,o,x,x,x,x,o,o,x,o,x,o,x
27,10,"10, 35, 48, 10, 18, 29, 12, 23, 33, 61",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,o,x,o
13,6,"39, 28, 7, 53, 61, 25",o,o,o,x,o,x,x,o,x,x,o,o,x,x,x,x,x,x
29,5,"35, 2, 16, 55, 47",x,o,o,x,o,x,o,o,x,x,x,o,x,x,x,x,x,x
28,7,"22, 26, 13, 5, 63, 5, 17",x,o,o,x,x,x,o,o,x,o,o,o,x,x,o,x,o,x
3,3,"4, 1, 20",o,o,x,x,x,x,o,o,o,x,x,o,o,x,o,o,o,x
15,4,"46, 2, 40, 49",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
34,8,"26, 15, 57, 18, 6, 57, 24, 7",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,x,x
0,3,"40, 1, 54",x,o,o,x,x,x,x,o,x,x,o,o,o,x,x,o,x,o
5,4,"25, 31, 62, 29",x,o,x,x,x,x,x,o,x,x,x,o,o,x,o,o,x,o
3,5,"34, 42, 50, 57, 26",o,o,o,x,x,x,x,o,x,x,o,o,o,x,o,o,o,x
34,2,"13, 13",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
29,2,"61, 28",o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
6,4,"61, 1, 48, 24",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
5,10,"61, 13, 20, 60, 16, 51, 59, 42, 19, 15",o,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
13,7,"56, 19, 37, 36, 51, 63, 51",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
9,2,"22, 57",x,o,o,x,x,x,o,o,x,x,o,x,o,x,o,o,o,x
31,9,"23, 47, 43, 41, 5, 5, 22, 61, 7",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
6,6,"56, 45, 56, 32, 22, 20",o,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,o,o
15,3,"8, 51, 30",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
12,4,"34, 14, 27, 5",x,o,x,x,x,x,o,o,x,x,x,x,o,x,o,x,x,x
22,7,"18, 52, 38, 36, 33, 53, 53",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
36,7,"46, 24, 49, 5, 8, 28, 19",o,o,o,x,x,x,o,o,x,x,x,o,x,x,x,x,x,x
8,4,"17, 56, 63, 15",x,o,o,x,x,x,o,o,x,o,x,x,o,x,o,x,o,o
1,2,"53, 32",x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
3,10,"25, 3, 42, 37, 15, 18, 14, 8, 17, 3",x,o,o,x,o,x,o,o,o,o,o,o,o,o,o,o,o,o
18,7,"29, 37, 44, 24, 14, 31, 63",o,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
2,1,3,x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,o,o,x
7,6,"23, 6, 56, 54, 14, 39",x,o,o,x,x,x,o,o,o,o,o,x,o,x,o,o,x,o
22,3,"38, 29, 52",x,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
31,6,"59, 52, 27, 6, 26, 38",o,o,o,x,x,x,x,o,x,x,o,o,o,x,x,x,x,x
29,1,58,o,o,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
32,3,"59, 1, 25",o,o,o,x,x,x,x,o,x,x,o,x,x,x,x,x,x,x
15,2,"2, 47",x,o,x,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
6,8,"37, 2, 46, 52, 46, 16, 35, 37",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
22,3,"18, 48, 59",o,o,o,x,o,x,o,o,x,o,o,o,x,x,o,x,x,x
16,2,"42, 61",o,o,o,x,o,x,x,o,x,x,x,x,x,x,x,x,x,x
35,10,"62, 5, 38, 14, 55, 12, 33, 19, 35, 62",x,o,o,x,x,x,o,o,x,o,x,o,x,x,o,x,x,o
31,1,45,o,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
16,8,"62, 7, 14, 55, 51, 52, 61, 11",o,o,o,x,o,x,o,o,x,x,o,o,x,x,o,x,x,o
32,4,"50, 61, 43, 11",o,o,o,x,o,x,o,o,x,x,x,x,x,x,o,x,x,x
25,6,"32, 18, 10, 57, 49, 4",x,o,o,x,x,x,o,o,x,x,x,x,x,x,o,x,x,x
7,6,"16, 55, 5, 12, 4, 48",x,o,x,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
6,2,"7, 23",x,o,x,x,x,x,o,o,x,x,x,o,o,x,x,x,x,x
1,3,"17, 37, 3",x,o,o,x,x,x,o,o,x,o,x,o,o,x,o,o,o,o
32,1,28,x,x,o,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
23,7,"16, 30, 33, 53, 42, 11, 1",x,o,o,x,x,x,o,o,x,x,x,o,x,x,o,x,x,x
23,3,"41, 21, 30",o,o,o,o,x,x,x,o,x,x,x,x,x,x,x,x,x,x
6,7,"34, 11, 14, 61, 8, 62, 29",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,x,o
20,2,"8, 26",x,o,x,x,x,x,x,o,x,x,x,x,x,x,x,x,x,x
1,10,"52, 61, 61, 45, 1, 34, 27, 44, 33, 36",o,o,o,x,o,x,o,o,o,x,o,o,o,x,o,o,x,o
13,4,"45, 25, 13, 9",o,o,o,x,x,x,x,o,x,x,x,o,x,x,x,x,x,x
14,6,"55, 50, 20, 54, 38, 24",o,o,o,x,x,x,o,o,x,x,o,o,x,x,o,x,o,x
5,9,"10, 3, 34, 55, 5, 48, 23, 1, 61",o,o,o,x,o,x,o,o,o,o,o,o,o,x,o,o,o,o
6,3,"60, 56, 6",x,o,o,x,o,x,o,o,x,x,o,o,o,x,o,o,x,o
32,5,"23, 37, 23, 57, 46",o,o,o,x,x,x,o,o,x,o,x,x,x,x,o,x,x,x
10,3,"29, 12, 9",x,o,x,x,x,x,o,o,x,x,x,x,o,x,o,o,o,x
6,1,49,x,o,x,x,x,x,x,o,x,x,x,o,o,x,x,x,x,x
33,8,"55, 24, 20, 61, 42, 22, 48, 11",o,o,o,x,o,x,o,o,o,o,o,o,x,x,o,x,o,o
17,2,"14, 45",o,o,o,x,x,x,o,o,x,x,x,x,x,x,x,x,x,x
